,車牌號碼,公車路線,出發站,預計到站時間,目標站
0,092-V3,301,漢神巨蛋,0,漢神巨蛋
1,089-V3,301,漢神巨蛋,2640,漢神巨蛋
2,092-V3,301,漢神巨蛋,0,漢神巨蛋
3,089-V3,301,漢神巨蛋,2640,漢神巨蛋
4,253-XH,168環西幹線,漢神巨蛋,0,漢神巨蛋
5,560-FP,168環東幹線,漢神巨蛋,480,漢神巨蛋
6,212-FT,168環東幹線,漢神巨蛋,1020,漢神巨蛋
7,EAL-2879,217A新昌幹線,博愛路口(漢神巨蛋),1140,博愛路口(漢神巨蛋)
8,EAL-2862,217A新昌幹線,博愛路口(漢神巨蛋),1500,博愛路口(漢神巨蛋)
9,150-V3,217A新昌幹線,博愛路口(漢神巨蛋),4260,博愛路口(漢神巨蛋)
10,EAL-2879,217A新昌幹線,博愛路口(漢神巨蛋),6360,博愛路口(漢神巨蛋)
11,EAL-2879,217A新昌幹線,博愛路口(漢神巨蛋),1140,博愛路口(漢神巨蛋)
12,EAL-2862,217A新昌幹線,博愛路口(漢神巨蛋),1500,博愛路口(漢神巨蛋)
13,150-V3,217A新昌幹線,博愛路口(漢神巨蛋),4260,博愛路口(漢神巨蛋)
14,EAL-2879,217A新昌幹線,博愛路口(漢神巨蛋),6360,博愛路口(漢神巨蛋)
